player,age,flag,bats,throws,height,weight,date_of_birth,experience,G_all,GS,G_batting,G_defense,G_p_app,G_1b,G_2b,G_3b,G_ss,G_lf_app,G_cf_app,G_rf_app,G_of_app,WAR,Salary,allstar_appearance
Ali Sánchez,24,ve VE,R,R,"6' 1""",200,20-Jan-97,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0.1,,
Edmundo Sosa,25,pa PA,R,R,"6' 0""",210,6-Mar-96,3,113,75,113,102,0,0,25,9,71,0,1,0,1,3.1,,
Lane Thomas,25,us US,R,R,"6' 0""",198,23-Aug-95,3,32,10,32,20,0,0,1,0,0,6,3,10,19,-0.3,,
Brandon Waddell,27,us US,L,L,"6' 3""",180,3-Jun-94,2,4,0,4,4,4,0,0,0,0,0,0,0,0,0,,
Adam Wainwright,39,us US,R,R,"6' 7""",230,30-Aug-81,16,34,32,33,32,32,0,0,0,0,0,0,0,0,3.9,"$8,000,000 ",
Tyler Webb,30,us US,L,L,"6' 5""",240,20-Jul-90,5,22,0,21,22,22,0,0,0,0,0,0,0,0,-1.4,,
Kodi Whitley,26,us US,R,R,"6' 3""",220,21-Feb-95,2,25,0,24,25,25,0,0,0,0,0,0,0,0,0.4,,
Justin Williams,25,us US,L,R,"6' 1""",235,20-Aug-95,3,51,33,51,39,0,0,0,0,0,19,0,24,39,-0.6,,
Jake Woodford,24,us US,R,R,"6' 4""",215,28-Oct-96,2,26,8,24,26,26,0,0,0,0,0,0,0,0,0.3,,
Nolan Arenado,31,us US,R,R,"6' 2""",215,16-Apr-91,10,148,147,148,131,0,0,0,131,0,0,0,0,0,7.9,"$35,000,000 ",All-Star
Harrison Bader,28,us US,R,R,"6' 0""",210,3-Jun-94,6,72,65,72,71,0,0,0,0,0,0,71,0,71,1.2,"$5,200,000 ",
Aaron Brooks,32,us US,R,R,"6' 4""",230,27-Apr-90,5,5,0,0,5,5,0,0,0,0,0,0,0,0,-0.2,,
Alec Burleson,23,us US,L,L,"6' 2""",212,25-Nov-98,1st,16,14,16,13,0,6,0,0,0,2,0,9,11,0,,
Génesis Cabrera,25,do DO,L,L,"6' 2""",180,10-Oct-96,4,39,0,0,39,39,0,0,0,0,0,0,0,0,-0.3,,
Conner Capel,25,us US,L,L,"6' 1""",185,19-May-97,1st,9,6,9,7,0,0,0,0,0,2,0,5,7,-0.1,,
Dylan Carlson,23,us US,B,L,"6' 2""",205,23-Oct-98,3,128,110,128,124,0,0,0,0,0,0,73,62,124,2,,
Paul DeJong,28,us US,R,R,"6' 0""",205,2-Aug-93,6,77,58,77,75,0,0,1,0,75,0,0,0,0,0.3,"$6,166,666 ",
Ben DeLuzio,27,us US,R,R,"6' 3""",200,9-Aug-94,1st,22,4,22,18,0,0,0,0,0,0,18,0,18,0.2,,
Corey Dickerson,33,us US,L,R,"6' 1""",212,22-May-89,10,97,73,96,68,1,0,0,0,0,60,0,10,67,0,"$5,000,000 ",
Brendan Donovan,25,de DE,L,R,"6' 1""",195,16-Jan-97,1st,126,108,126,106,0,16,38,31,7,19,0,20,37,4.2,,
Tommy Edman,27,us US,B,R,"5' 10""",180,9-May-95,4,153,142,153,152,0,0,89,8,80,0,1,2,3,6.3,,
Junior Fernández,25,do DO,R,R,"6' 3""",215,2-Mar-97,4,13,0,0,13,13,0,0,0,0,0,0,0,0,0.1,,
Jack Flaherty,26,us US,R,R,"6' 4""",225,15-Oct-95,6,9,8,0,9,9,0,0,0,0,0,0,0,0,-0.1,"$5,000,000 ",
Giovanny Gallegos,30,mx MX,R,R,"6' 2""",215,14-Aug-91,6,57,0,0,57,57,0,0,0,0,0,0,0,0,0.7,"$2,410,000 ",
Paul Goldschmidt,34,us US,R,R,"6' 3""",220,10-Sep-87,12,151,150,151,128,0,128,0,0,0,0,0,0,0,7.8,"$26,000,000 ",All-Star
Nolan Gorman,22,us US,L,R,"6' 1""",210,10-May-00,1st,89,73,89,68,0,0,68,0,0,1,0,0,1,0.8,,
Ryan Helsley,27,us US,R,R,"6' 2""",230,18-Jul-94,4,54,0,0,54,54,0,0,0,0,0,0,0,0,2.7,,All-Star
Iván Herrera,22,pa PA,R,R,"5' 11""",220,1-Jun-00,1st,11,6,11,11,0,0,0,0,0,0,0,0,0,-0.3,,
Jordan Hicks,25,us US,R,R,"6' 2""",220,6-Sep-96,4,35,8,0,35,35,0,0,0,0,0,0,0,0,-0.4,"$938,000 ",
Dakota Hudson,27,us US,R,R,"6' 5""",215,15-Sep-94,5,27,26,0,27,27,0,0,0,0,0,0,0,0,0.2,"$1,050,000 ",
Andrew Knizner,27,us US,R,R,"6' 1""",225,3-Feb-95,4,97,78,96,94,1,5,0,0,0,0,0,0,0,0.7,,
Matthew Liberatore,22,us US,L,L,"6' 4""",200,6-Nov-99,1st,9,7,1,9,9,0,0,0,0,0,0,0,0,-0.5,,
Steven Matz,31,us US,R,L,"6' 2""",201,29-May-91,8,15,10,0,15,15,0,0,0,0,0,0,0,0,-0.3,"$8,500,000 ",
T.J. McFarland,33,us US,L,L,"6' 3""",200,8-Jun-89,10,28,0,0,28,28,0,0,0,0,0,0,0,0,-0.8,"$2,500,000 ",
Miles Mikolas,33,us US,R,R,"6' 4""",230,23-Aug-88,7,33,32,0,33,33,0,0,0,0,0,0,0,0,2.4,"$17,000,000 ",All-Star
Yadier Molina,39,pr PR,R,R,"5' 11""",225,13-Jul-82,19,80,71,78,79,2,1,0,0,0,0,0,0,0,0,"$10,000,000 ",
Jordan Montgomery,29,us US,L,L,"6' 6""",228,27-Dec-92,6,11,11,0,11,11,0,0,0,0,0,0,0,0,0.8,,
James Naile,29,us US,R,R,"6' 4""",185,8-Feb-93,1st,7,0,0,7,7,0,0,0,0,0,0,0,0,0,,
Packy Naughton,26,us US,R,L,"6' 2""",195,16-Apr-96,2,26,3,0,26,26,0,0,0,0,0,0,0,0,-0.1,,
